Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,33.650002,33.889999,33.220001,33.599998,25.892065,697600
2018-01-03,34.720001,35.009998,33.669998,34.270000,26.408367,1359200
2018-01-04,34.470001,34.570000,34.180000,34.310001,26.439194,550500
2018-01-05,34.169998,34.570000,34.000000,34.480000,26.570194,360500
2018-01-08,34.480000,34.939999,34.230000,34.919998,26.909264,470200
2018-01-09,34.939999,35.720001,34.939999,35.689999,27.502623,1104600
2018-01-10,35.700001,36.040001,35.509998,35.560001,27.402441,703200
2018-01-11,35.630001,36.380001,35.610001,35.889999,27.656733,805000
2018-01-12,36.189999,36.389999,35.939999,36.189999,27.887918,473000
2018-01-16,36.509998,36.599998,34.580002,35.080002,27.032558,840000
2018-01-17,35.070000,35.700001,34.799999,35.419998,27.294556,500800
2018-01-18,35.410000,35.500000,34.770000,35.070000,27.024845,496700
2018-01-19,34.860001,34.930000,33.849998,34.740002,26.770555,2672800
2018-01-22,34.509998,34.880001,34.160000,34.660000,26.708902,1029400
2018-01-23,33.720001,35.689999,33.340000,35.389999,27.271439,628400
2018-01-24,35.560001,35.740002,34.840000,35.540001,27.387030,527600
2018-01-25,35.599998,36.540001,35.599998,36.400002,28.049746,1219300
2018-01-26,36.560001,36.650002,36.320000,36.419998,28.065149,793800
2018-01-29,36.220001,36.419998,35.209999,35.599998,27.433260,1070900
2018-01-30,35.380001,35.840000,35.169998,35.500000,27.356203,520600
2018-01-31,35.860001,35.990002,35.619999,35.750000,27.548859,1147100
2018-02-01,36.500000,37.349998,36.029999,36.779999,28.342567,2056600
2018-02-02,36.630001,36.770000,35.369999,35.900002,27.664444,1262800
2018-02-05,35.119999,35.200001,33.529999,34.000000,26.200310,2476300
2018-02-06,33.080002,33.790001,32.150002,33.590000,25.884365,3235500
2018-02-07,33.639999,34.259998,33.500000,33.750000,26.007662,984100
2018-02-08,33.959999,34.029999,32.020000,32.029999,24.682232,1513500
2018-02-09,32.320000,32.880001,30.860001,32.330002,24.913414,2753500
2018-02-12,32.650002,33.119999,32.150002,33.020000,25.445124,1098200
2018-02-13,32.959999,33.660000,32.750000,33.570000,25.868954,823800
2018-02-14,33.470001,34.310001,33.360001,34.279999,26.416075,880300
2018-02-15,34.599998,34.689999,33.919998,34.520000,26.601017,1836200
2018-02-16,34.549999,34.630001,33.740002,34.009998,26.208014,1488300
2018-02-20,33.279999,33.750000,32.820000,33.599998,26.404476,2630100
2018-02-21,33.599998,34.279999,33.599998,33.840000,26.593077,933700
2018-02-22,33.919998,34.310001,33.599998,33.900002,26.640236,877700
2018-02-23,34.160000,34.320000,33.900002,34.250000,26.915270,548700
2018-02-26,34.349998,34.590000,34.090000,34.150002,26.836697,907600
2018-02-27,34.099998,34.160000,32.650002,32.700001,25.697212,2285700
2018-02-28,32.830002,33.110001,32.599998,32.799999,25.775793,1352800
2018-03-01,32.869999,33.090000,31.520000,31.990000,25.139263,1895500
2018-03-02,31.709999,32.110001,31.160000,32.049999,25.186413,941500
2018-03-05,31.910000,32.500000,31.540001,32.450001,25.500753,553300
2018-03-06,32.500000,33.009998,32.130001,32.849998,25.815086,720700
2018-03-07,32.540001,32.919998,32.349998,32.750000,25.736506,906600
2018-03-08,32.939999,33.040001,32.549999,33.009998,25.940825,611300
2018-03-09,33.290001,33.730000,33.139999,33.560001,26.373041,610200
2018-03-12,34.020000,34.200001,33.459999,33.540001,26.357330,529600
2018-03-13,33.709999,33.709999,32.779999,33.009998,25.940825,506400
2018-03-14,33.099998,33.189999,32.639999,32.830002,25.799370,502700
2018-03-15,32.770000,32.770000,32.099998,32.369999,25.437881,806900
2018-03-16,32.189999,32.529999,32.049999,32.049999,25.186413,486500
2018-03-19,32.000000,32.020000,31.059999,31.270000,24.573450,704900
2018-03-20,31.260000,31.809999,31.200001,31.760000,24.958517,359100
