Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,10479.650391,10482.299805,10360.049805,10373.700195,10373.700195,445300
2018-01-02,10406.950195,10426.549805,10350.750000,10398.400391,10398.400391,442800
2018-01-03,10429.000000,10443.750000,10376.500000,10386.349609,10386.349609,392800
2018-01-04,10412.349609,10440.750000,10381.250000,10428.950195,10428.950195,499800
2018-01-05,10466.150391,10490.849609,10420.650391,10473.250000,10473.250000,424700
2018-01-08,10500.599609,10551.000000,10500.549805,10520.000000,10520.000000,442600
2018-01-09,10539.549805,10566.450195,10476.349609,10499.500000,10499.500000,448500
2018-01-10,10496.349609,10503.400391,10448.700195,10464.549805,10464.549805,348800
2018-01-11,10468.250000,10497.450195,10434.950195,10486.250000,10486.250000,428000
2018-01-12,10507.750000,10547.599609,10451.950195,10531.549805,10531.549805,539400
2018-01-15,10598.400391,10804.799805,10584.950195,10785.599609,10785.599609,778100
2018-01-16,10806.950195,10808.549805,10721.849609,10736.549805,10736.549805,734300
2018-01-17,10720.900391,10855.200195,10719.950195,10837.849609,10837.849609,960600
2018-01-18,10991.950195,11060.750000,10910.849609,10951.849609,10951.849609,1083300
2018-01-19,10970.000000,11088.400391,10903.599609,11073.250000,11073.250000,666800
2018-01-22,11089.549805,11132.599609,11044.400391,11093.150391,11093.150391,692700
2018-01-23,11101.700195,11207.650391,11097.599609,11195.049805,11195.049805,928900
2018-01-24,11175.349609,11257.000000,11153.349609,11212.250000,11212.250000,809500
2018-01-25,11219.450195,11267.400391,11115.549805,11232.650391,11232.650391,1154400
2018-01-29,11244.599609,11368.500000,11229.400391,11331.250000,11331.250000,698000
2018-01-30,11327.799805,11328.500000,11191.799805,11208.150391,11208.150391,648500
2018-01-31,11151.200195,11273.000000,11145.099609,11262.150391,11262.150391,732800
2018-02-01,11252.250000,11337.750000,11127.349609,11231.750000,11231.750000,888400
2018-02-02,11143.750000,11145.549805,10863.049805,10886.900391,10886.900391,801200
2018-02-05,10697.849609,10741.500000,10643.500000,10685.150391,10685.150391,725900
2018-02-06,10302.450195,10698.599609,10267.750000,10572.500000,10572.500000,950500
2018-02-07,10659.250000,10670.900391,10492.150391,10539.950195,10539.950195,703000
2018-02-08,10569.150391,10735.049805,10542.150391,10656.900391,10656.900391,529600
2018-02-09,10469.000000,10513.200195,10432.750000,10467.049805,10467.049805,506600
2018-02-12,10493.950195,10578.750000,10462.450195,10562.000000,10562.000000,819700
2018-02-14,10620.000000,10620.349609,10450.349609,10498.099609,10498.099609,890400
2018-02-15,10527.400391,10637.599609,10504.200195,10560.400391,10560.400391,820800
2018-02-16,10593.750000,10623.799805,10436.400391,10464.900391,10464.900391,714400
2018-02-19,10539.099609,10540.500000,10354.700195,10437.700195,10437.700195,820600
2018-02-20,10481.799805,10498.900391,10360.599609,10381.099609,10381.099609,677300
2018-02-21,10432.650391,10433.200195,10364.000000,10405.549805,10405.549805,601100
2018-02-22,10361.849609,10407.650391,10335.799805,10396.849609,10396.849609,942600
2018-02-23,10416.900391,10529.750000,10396.900391,10519.000000,10519.000000,451100
2018-02-26,10572.500000,10686.450195,10552.099609,10678.650391,10678.650391,560400
2018-02-27,10687.849609,10696.099609,10552.150391,10561.650391,10561.650391,594500
2018-02-28,10481.450195,10490.400391,10422.000000,10439.099609,10439.099609,729500
2018-03-01,10416.400391,10482.349609,10359.549805,10372.599609,10372.599609,736800
2018-03-05,10354.400391,10354.650391,10281.450195,10337.549805,10337.549805,589700
2018-03-06,10396.549805,10424.200195,10148.950195,10200.650391,10200.650391,757200
2018-03-07,10161.200195,10162.900391,10035.400391,10054.549805,10054.549805,964300
2018-03-08,10113.900391,10230.799805,10066.150391,10209.099609,10209.099609,991400
2018-03-09,10235.700195,10279.400391,10183.099609,10194.200195,10194.200195,641600
2018-03-12,10262.099609,10368.349609,10245.849609,10346.799805,10346.799805,736500
2018-03-13,10328.200195,10475.200195,10322.099609,10384.750000,10384.750000,930700
2018-03-14,10338.450195,10400.599609,10264.250000,10387.799805,10387.799805,746000
2018-03-15,10391.750000,10432.299805,10356.500000,10373.400391,10373.400391,599800
2018-03-16,10355.700195,10363.099609,10189.299805,10211.250000,10211.250000,1075400
2018-03-19,10232.150391,10252.150391,10092.849609,10112.799805,10112.799805,693900
2018-03-20,10073.849609,10173.900391,10072.900391,10132.950195,10132.950195,624700
2018-03-21,10211.400391,10269.799805,10178.099609,10199.549805,10199.549805,655700
2018-03-22,10197.099609,10232.650391,10125.400391,10140.799805,10140.799805,792300
2018-03-23,9997.049805,10014.349609,9934.500000,9972.750000,9972.750000,1129300
2018-03-26,9964.500000,10222.900391,9960.099609,10207.099609,10207.099609,965600
2018-03-27,10259.400391,10304.150391,10215.750000,10269.500000,10269.500000,993300
2018-03-28,10232.849609,10241.200195,10188.000000,10207.599609,10207.599609,1112900
2018-04-02,10199.750000,10273.450195,10157.950195,10261.349609,10261.349609,1137900
2018-04-03,10248.150391,10326.549805,10227.650391,10311.450195,10311.450195,855400
2018-04-04,10317.650391,10346.500000,10143.349609,10169.250000,10169.250000,816300
2018-04-05,10268.250000,10432.650391,10265.599609,10414.549805,10414.549805,775600
2018-04-06,10424.299805,10482.900391,10388.099609,10468.150391,10468.150391,794300
2018-04-09,10459.250000,10560.150391,10445.799805,10530.799805,10530.799805,766200
2018-04-10,10554.200195,10575.849609,10517.000000,10541.049805,10541.049805,1045300
2018-04-11,10542.750000,10545.950195,10444.650391,10502.950195,10502.950195,555600
2018-04-12,10493.000000,10568.349609,10454.349609,10555.900391,10555.900391,652200
2018-04-13,10577.599609,10631.200195,10525.849609,10569.950195,10569.950195,692300
2018-04-16,10522.700195,10668.950195,10517.849609,10658.650391,10658.650391,545700
2018-04-17,10689.500000,10707.000000,10626.650391,10684.200195,10684.200195,500700
2018-04-18,10722.500000,10722.599609,10583.500000,10605.000000,10605.000000,549000
2018-04-19,10640.150391,10640.400391,10557.900391,10579.700195,10579.700195,540300
2018-04-20,10583.450195,10585.099609,10471.400391,10501.400391,10501.400391,570100
2018-04-23,10558.049805,10558.049805,10349.000000,10479.549805,10479.549805,471100
2018-04-24,10496.000000,10568.700195,10492.900391,10547.299805,10547.299805,474700
2018-04-25,10533.849609,10533.849609,10441.849609,10466.599609,10466.599609,413200
2018-04-26,10483.200195,10493.549805,10439.000000,10480.900391,10480.900391,890400
2018-04-27,10475.700195,10626.400391,10475.700195,10614.900391,10614.900391,1316100
2018-04-30,10658.650391,10714.799805,10640.549805,10675.750000,10675.750000,632200
2018-05-02,10721.849609,10776.400391,10673.750000,10726.250000,10726.250000,827000
2018-05-03,10714.299805,10770.900391,10702.349609,10743.900391,10743.900391,602000
2018-05-04,10760.650391,10760.650391,10706.299805,10735.799805,10735.799805,474400
2018-05-07,10753.450195,10829.400391,10744.700195,10813.599609,10813.599609,579900
2018-05-08,10880.950195,10885.450195,10826.799805,10864.549805,10864.549805,1410500
2018-05-09,10814.250000,10881.049805,10795.849609,10866.799805,10866.799805,518000
2018-05-10,10909.049805,10926.250000,10843.299805,10859.200195,10859.200195,564400
2018-05-11,10881.450195,10996.849609,10863.849609,10988.299805,10988.299805,477200
2018-05-14,10990.799805,11039.849609,10965.650391,11007.599609,11007.599609,519500
2018-05-15,11019.000000,11168.200195,10984.950195,11016.650391,11016.650391,708300
2018-05-16,10945.200195,10993.200195,10884.450195,10903.200195,10903.200195,710500
2018-05-17,10930.299805,10934.599609,10828.599609,10875.750000,10875.750000,571900
2018-05-18,10853.549805,10868.200195,10769.950195,10783.200195,10783.200195,674100
2018-05-21,10831.049805,10838.099609,10669.650391,10693.650391,10693.650391,651100
2018-05-22,10704.799805,10789.700195,10689.900391,10721.549805,10721.549805,1028500
2018-05-23,10703.000000,10744.150391,10637.150391,10653.700195,10653.700195,1131500
2018-05-24,10686.849609,10809.799805,10657.400391,10781.750000,10781.750000,767800
2018-05-25,10803.450195,10902.450195,10795.750000,10885.799805,10885.799805,849600
